#{"t_start": 1770078423.673936, "env_id": "None"}
r,l,t
37.92,708,1.129298
-9.46,446,1.355427
40.0,1000,2.447064
40.0,1000,2.927965
39.92,508,3.168732
-10.11,511,3.859039
-14.73,973,4.303845
39.63,537,4.53407
43.16,184,4.620814
40.71,429,5.430231
41.83,317,5.584711
40.43,457,5.789455
92.4,260,5.920594
-8.47,347,6.039981
41.97,303,6.189218
92.1,290,6.989017
88.68,632,7.358776
42.17,283,7.514701
89.35,565,7.811019
87.09,791,8.69509
141.91,309,8.834257
43.91,109,8.885489
142.69,231,8.99216
44.1,90,9.0341
43.25,175,9.121776
44.17,83,9.161459
93.03,197,9.258131
93.36,164,9.340525
43.65,135,9.405557
43.95,105,9.456656
141.97,303,10.071083
142.8,220,10.177298
43.77,123,10.237471
142.59,241,10.353072
43.95,105,10.405246
93.09,191,10.498543
93.68,132,10.564318
142.44,256,10.691767
143.21,179,10.783001
43.39,161,10.868169
143.32,168,10.947937
142.81,219,11.561023
142.78,222,11.675291
142.67,233,11.788967
142.57,243,11.915566
44.02,98,11.968451
93.29,171,12.062016
93.7,130,12.133777
142.95,205,12.233315
93.4,160,12.322065
93.13,187,12.428735
143.1,190,12.523213
142.98,202,13.133811
143.22,178,13.222463
93.3,170,13.313392
143.62,138,13.385623
142.64,236,13.510028
142.84,216,13.620026
143.03,197,13.720211
93.53,147,13.799291
143.11,189,13.890831
143.06,194,13.990228
142.1,290,14.650073
44.15,85,14.691919
93.46,154,14.770443
143.29,171,14.848554
43.7,130,14.912883
44.33,67,14.94489
43.77,123,15.007513
143.18,182,15.104295
93.62,138,15.17634
93.6,140,15.245795
93.3,170,15.329122
142.63,237,15.441753
142.69,231,15.5506
44.03,97,15.598567
93.72,128,16.134248
143.2,180,16.222258
43.74,126,16.285736
142.72,228,16.397678
93.64,136,16.47265
142.84,216,16.637668
143.05,195,16.855614
143.28,172,16.958399
93.58,142,17.043385
93.61,139,17.122571
93.43,157,17.212684
142.7,230,17.339354
142.92,208,18.284443
44.17,83,18.333658
93.82,118,18.406473
142.65,235,18.577744
143.19,181,18.718112
143.36,164,19.027022
143.21,179,19.360984
142.96,204,19.517318
143.04,196,19.639335
143.34,166,19.739923
93.63,137,19.831261
93.28,172,19.949932
143.0,200,20.600326
143.6,140,20.66935
143.1,190,20.764366
142.89,211,20.870768
142.8,220,20.977183
143.1,190,21.06942
142.59,241,21.184341
143.17,183,21.274532
143.35,165,21.352375
143.16,184,21.454767
142.72,228,21.578715
93.93,107,22.114108
143.31,169,22.195639
142.92,208,22.296494
143.21,179,22.380145
